ID,DJID,QRCode,MusicConfig
11,82,QR11,"{'MusicPlaylist': [{'MusicName': 'Because.', 'Visible': True, 'Votes': 46, 'VotersIDs': ['40', '87', '14'], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Half.', 'Visible': False, 'Votes': 17, 'VotersIDs': ['95', '31'], 'IsUserRecommentaion': False, 'RecommenderID': ''}, {'MusicName': 'Enough.', 'Visible': False, 'Votes': 0, 'VotersIDs': [], 'IsUserRecommentaion': True, 'RecommenderID': '44'}, {'MusicName': 'Mr.', 'Visible': False, 'Votes': 31, 'VotersIDs': ['99', '2', '36'], 'IsUserRecommentaion': False, 'RecommenderID': ''}, {'MusicName': 'Play.', 'Visible': True, 'Votes': 21, 'VotersIDs': ['71'], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Stop carry.', 'Visible': False, 'Votes': 4, 'VotersIDs': ['79', '24', '18'], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Although.', 'Visible': False, 'Votes': 30, 'VotersIDs': ['57', '53', '76', '11'], 'IsUserRecommentaion': False, 'RecommenderID': ''}], 'EnableUserRecommendation': True}"
12,37,QR12,"{'MusicPlaylist': [{'MusicName': 'Break.', 'Visible': False, 'Votes': 44, 'VotersIDs': ['31', '37', '65', '16', '65'], 'IsUserRecommentaion': False, 'RecommenderID': ''}, {'MusicName': 'Consider.', 'Visible': False, 'Votes': 30, 'VotersIDs': ['86', '98', '35', '3', '14'], 'IsUserRecommentaion': True, 'RecommenderID': '64'}, {'MusicName': 'Save.', 'Visible': False, 'Votes': 32, 'VotersIDs': [], 'IsUserRecommentaion': False, 'RecommenderID': '38'}, {'MusicName': 'Rise teach.', 'Visible': False, 'Votes': 40, 'VotersIDs': ['5', '50'], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'According.', 'Visible': False, 'Votes': 3, 'VotersIDs': ['94', '20', '22'], 'IsUserRecommentaion': True, 'RecommenderID': '7'}], 'EnableUserRecommendation': True}"
13,15,QR13,"{'MusicPlaylist': [{'MusicName': 'Business politics.', 'Visible': True, 'Votes': 31, 'VotersIDs': ['32', '45'], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Money up.', 'Visible': True, 'Votes': 28, 'VotersIDs': [], 'IsUserRecommentaion': False, 'RecommenderID': '3'}, {'MusicName': 'Cost.', 'Visible': True, 'Votes': 28, 'VotersIDs': ['67', '92', '86'], 'IsUserRecommentaion': True, 'RecommenderID': '41'}], 'EnableUserRecommendation': False}"
14,45,QR14,"{'MusicPlaylist': [{'MusicName': 'President.', 'Visible': True, 'Votes': 1, 'VotersIDs': ['91', '3', '81'], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Wrong rise.', 'Visible': True, 'Votes': 48, 'VotersIDs': [], 'IsUserRecommentaion': False, 'RecommenderID': ''}, {'MusicName': 'Most.', 'Visible': True, 'Votes': 43, 'VotersIDs': ['11', '45', '7', '75', '26'], 'IsUserRecommentaion': False, 'RecommenderID': '1'}, {'MusicName': 'Ahead soldier.', 'Visible': False, 'Votes': 36, 'VotersIDs': [], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Account style.', 'Visible': True, 'Votes': 28, 'VotersIDs': ['63'], 'IsUserRecommentaion': True, 'RecommenderID': ''}], 'EnableUserRecommendation': True}"
15,28,QR15,"{'MusicPlaylist': [{'MusicName': 'College.', 'Visible': True, 'Votes': 29, 'VotersIDs': ['35'], 'IsUserRecommentaion': False, 'RecommenderID': '10'}, {'MusicName': 'Traditional enjoy.', 'Visible': False, 'Votes': 15, 'VotersIDs': ['38', '48', '85', '39', '73'], 'IsUserRecommentaion': False, 'RecommenderID': ''}, {'MusicName': 'Wind.', 'Visible': False, 'Votes': 19, 'VotersIDs': ['84', '74', '45', '45'], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Financial.', 'Visible': False, 'Votes': 40, 'VotersIDs': ['14', '36'], 'IsUserRecommentaion': False, 'RecommenderID': ''}, {'MusicName': 'Able responsibility.', 'Visible': False, 'Votes': 31, 'VotersIDs': ['48'], 'IsUserRecommentaion': True, 'RecommenderID': ''}], 'EnableUserRecommendation': False}"
16,32,QR16,"{'MusicPlaylist': [{'MusicName': 'Travel.', 'Visible': True, 'Votes': 20, 'VotersIDs': [], 'IsUserRecommentaion': False, 'RecommenderID': ''}, {'MusicName': 'Discussion.', 'Visible': False, 'Votes': 50, 'VotersIDs': ['78', '93', '32', '83', '47'], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Staff before.', 'Visible': True, 'Votes': 37, 'VotersIDs': ['30'], 'IsUserRecommentaion': True, 'RecommenderID': '53'}, {'MusicName': 'Suffer she.', 'Visible': False, 'Votes': 36, 'VotersIDs': ['84'], 'IsUserRecommentaion': True, 'RecommenderID': ''}], 'EnableUserRecommendation': False}"
17,46,QR17,"{'MusicPlaylist': [{'MusicName': 'Between.', 'Visible': True, 'Votes': 17, 'VotersIDs': [], 'IsUserRecommentaion': False, 'RecommenderID': '98'}, {'MusicName': 'Stock.', 'Visible': False, 'Votes': 36, 'VotersIDs': ['43', '32', '65', '52', '9'], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Study.', 'Visible': True, 'Votes': 25, 'VotersIDs': ['1'], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Campaign dog.', 'Visible': False, 'Votes': 13, 'VotersIDs': ['95', '98', '74', '31'], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Near.', 'Visible': False, 'Votes': 15, 'VotersIDs': ['64', '14', '18'], 'IsUserRecommentaion': False, 'RecommenderID': '76'}], 'EnableUserRecommendation': True}"
18,2,QR18,"{'MusicPlaylist': [{'MusicName': 'Skin eat.', 'Visible': True, 'Votes': 6, 'VotersIDs': ['35', '23'], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Name.', 'Visible': True, 'Votes': 21, 'VotersIDs': ['80', '99', '72', '31', '77'], 'IsUserRecommentaion': True, 'RecommenderID': '85'}, {'MusicName': 'Teacher.', 'Visible': True, 'Votes': 31, 'VotersIDs': ['100'], 'IsUserRecommentaion': False, 'RecommenderID': '24'}, {'MusicName': 'Election.', 'Visible': False, 'Votes': 30, 'VotersIDs': ['45', '77'], 'IsUserRecommentaion': True, 'RecommenderID': '69'}], 'EnableUserRecommendation': True}"
19,51,QR19,"{'MusicPlaylist': [{'MusicName': 'Two.', 'Visible': True, 'Votes': 21, 'VotersIDs': ['74'], 'IsUserRecommentaion': False, 'RecommenderID': '16'}, {'MusicName': 'Training.', 'Visible': False, 'Votes': 5, 'VotersIDs': ['72', '17', '39'], 'IsUserRecommentaion': True, 'RecommenderID': '77'}, {'MusicName': 'Great.', 'Visible': True, 'Votes': 49, 'VotersIDs': ['56', '13', '60', '14'], 'IsUserRecommentaion': False, 'RecommenderID': '47'}, {'MusicName': 'Teach present.', 'Visible': True, 'Votes': 8, 'VotersIDs': ['85'], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Various.', 'Visible': True, 'Votes': 5, 'VotersIDs': ['71', '63', '44', '6', '68'], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Cultural.', 'Visible': True, 'Votes': 25, 'VotersIDs': ['57', '27', '20', '68'], 'IsUserRecommentaion': False, 'RecommenderID': ''}], 'EnableUserRecommendation': False}"
20,95,QR20,"{'MusicPlaylist': [{'MusicName': 'Cell.', 'Visible': False, 'Votes': 8, 'VotersIDs': ['20', '33'], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Base.', 'Visible': True, 'Votes': 14, 'VotersIDs': ['63', '18', '56'], 'IsUserRecommentaion': False, 'RecommenderID': '5'}, {'MusicName': 'On.', 'Visible': False, 'Votes': 22, 'VotersIDs': ['62'], 'IsUserRecommentaion': True, 'RecommenderID': '11'}, {'MusicName': 'Relationship stuff.', 'Visible': True, 'Votes': 47, 'VotersIDs': ['78', '37', '16', '47'], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'South.', 'Visible': False, 'Votes': 28, 'VotersIDs': ['81', '80', '79', '43'], 'IsUserRecommentaion': False, 'RecommenderID': ''}, {'MusicName': 'Since.', 'Visible': True, 'Votes': 40, 'VotersIDs': [], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Stand gun.', 'Visible': False, 'Votes': 50, 'VotersIDs': ['34', '14', '69'], 'IsUserRecommentaion': False, 'RecommenderID': '99'}], 'EnableUserRecommendation': True}"
21,66,QR21,"{'MusicPlaylist': [{'MusicName': 'Student contain.', 'Visible': False, 'Votes': 23, 'VotersIDs': [], 'IsUserRecommentaion': False, 'RecommenderID': '94'}, {'MusicName': 'Form.', 'Visible': True, 'Votes': 9, 'VotersIDs': ['7', '75', '56'], 'IsUserRecommentaion': False, 'RecommenderID': ''}, {'MusicName': 'Southern.', 'Visible': False, 'Votes': 43, 'VotersIDs': ['40', '31', '5'], 'IsUserRecommentaion': False, 'RecommenderID': ''}, {'MusicName': 'Wide.', 'Visible': False, 'Votes': 11, 'VotersIDs': ['40', '13', '80', '32'], 'IsUserRecommentaion': True, 'RecommenderID': '49'}, {'MusicName': 'Including.', 'Visible': True, 'Votes': 21, 'VotersIDs': ['1', '47', '37'], 'IsUserRecommentaion': False, 'RecommenderID': '91'}, {'MusicName': 'Receive.', 'Visible': True, 'Votes': 14, 'VotersIDs': ['25', '48'], 'IsUserRecommentaion': False, 'RecommenderID': '66'}, {'MusicName': 'Scientist community.', 'Visible': True, 'Votes': 2, 'VotersIDs': ['73', '76', '80', '4', '33'], 'IsUserRecommentaion': True, 'RecommenderID': '85'}], 'EnableUserRecommendation': False}"
22,90,QR22,"{'MusicPlaylist': [{'MusicName': 'Bring.', 'Visible': True, 'Votes': 45, 'VotersIDs': [], 'IsUserRecommentaion': False, 'RecommenderID': '80'}, {'MusicName': 'Space.', 'Visible': False, 'Votes': 47, 'VotersIDs': ['33', '34', '97'], 'IsUserRecommentaion': False, 'RecommenderID': ''}, {'MusicName': 'Present.', 'Visible': True, 'Votes': 22, 'VotersIDs': [], 'IsUserRecommentaion': False, 'RecommenderID': '5'}, {'MusicName': 'Democratic civil.', 'Visible': False, 'Votes': 23, 'VotersIDs': ['8', '55', '10', '42'], 'IsUserRecommentaion': False, 'RecommenderID': '74'}, {'MusicName': 'Perform.', 'Visible': False, 'Votes': 21, 'VotersIDs': ['29', '81'], 'IsUserRecommentaion': False, 'RecommenderID': ''}, {'MusicName': 'Defense.', 'Visible': False, 'Votes': 10, 'VotersIDs': ['38', '19'], 'IsUserRecommentaion': True, 'RecommenderID': '46'}], 'EnableUserRecommendation': True}"
23,48,QR23,"{'MusicPlaylist': [{'MusicName': 'If.', 'Visible': False, 'Votes': 27, 'VotersIDs': ['5', '23', '41', '26'], 'IsUserRecommentaion': False, 'RecommenderID': ''}, {'MusicName': 'Here.', 'Visible': True, 'Votes': 30, 'VotersIDs': ['82'], 'IsUserRecommentaion': False, 'RecommenderID': '55'}, {'MusicName': 'Mention.', 'Visible': False, 'Votes': 30, 'VotersIDs': ['5', '82', '97', '18', '96'], 'IsUserRecommentaion': False, 'RecommenderID': '55'}], 'EnableUserRecommendation': False}"
24,43,QR24,"{'MusicPlaylist': [{'MusicName': 'It.', 'Visible': True, 'Votes': 19, 'VotersIDs': ['79', '68'], 'IsUserRecommentaion': False, 'RecommenderID': '25'}, {'MusicName': 'Seek blood.', 'Visible': True, 'Votes': 20, 'VotersIDs': ['81'], 'IsUserRecommentaion': False, 'RecommenderID': '22'}, {'MusicName': 'Officer visit.', 'Visible': True, 'Votes': 28, 'VotersIDs': [], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Task provide.', 'Visible': True, 'Votes': 11, 'VotersIDs': ['96', '28', '67', '71'], 'IsUserRecommentaion': False, 'RecommenderID': '20'}, {'MusicName': 'Discussion.', 'Visible': True, 'Votes': 26, 'VotersIDs': ['32', '83', '33', '17'], 'IsUserRecommentaion': True, 'RecommenderID': '25'}, {'MusicName': 'Newspaper.', 'Visible': True, 'Votes': 45, 'VotersIDs': ['73', '65'], 'IsUserRecommentaion': False, 'RecommenderID': ''}], 'EnableUserRecommendation': False}"
25,66,QR25,"{'MusicPlaylist': [{'MusicName': 'Provide.', 'Visible': True, 'Votes': 24, 'VotersIDs': ['22', '70', '41'], 'IsUserRecommentaion': False, 'RecommenderID': '43'}, {'MusicName': 'Whose.', 'Visible': True, 'Votes': 24, 'VotersIDs': ['69', '68'], 'IsUserRecommentaion': False, 'RecommenderID': ''}, {'MusicName': 'Draw ten.', 'Visible': False, 'Votes': 47, 'VotersIDs': ['51', '91', '14', '29', '49'], 'IsUserRecommentaion': True, 'RecommenderID': '98'}, {'MusicName': 'Lead.', 'Visible': True, 'Votes': 45, 'VotersIDs': ['92', '65', '68', '82'], 'IsUserRecommentaion': True, 'RecommenderID': '6'}, {'MusicName': 'General.', 'Visible': True, 'Votes': 31, 'VotersIDs': ['55', '98', '36', '37'], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Political.', 'Visible': False, 'Votes': 34, 'VotersIDs': ['57', '54', '49', '16', '16'], 'IsUserRecommentaion': True, 'RecommenderID': '25'}], 'EnableUserRecommendation': False}"
26,96,QR26,"{'MusicPlaylist': [{'MusicName': 'Story.', 'Visible': False, 'Votes': 41, 'VotersIDs': [], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Study.', 'Visible': False, 'Votes': 49, 'VotersIDs': ['81', '46'], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Friend.', 'Visible': True, 'Votes': 32, 'VotersIDs': [], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'By question.', 'Visible': True, 'Votes': 31, 'VotersIDs': ['38'], 'IsUserRecommentaion': False, 'RecommenderID': ''}, {'MusicName': 'Few.', 'Visible': True, 'Votes': 48, 'VotersIDs': ['96', '47', '6'], 'IsUserRecommentaion': True, 'RecommenderID': '12'}], 'EnableUserRecommendation': True}"
27,93,QR27,"{'MusicPlaylist': [{'MusicName': 'Cultural.', 'Visible': False, 'Votes': 1, 'VotersIDs': ['60', '56', '47', '4', '78'], 'IsUserRecommentaion': False, 'RecommenderID': ''}, {'MusicName': 'Involve it.', 'Visible': False, 'Votes': 40, 'VotersIDs': ['43', '63', '44', '17'], 'IsUserRecommentaion': False, 'RecommenderID': '70'}, {'MusicName': 'Anyone.', 'Visible': False, 'Votes': 41, 'VotersIDs': ['79', '21', '91', '60'], 'IsUserRecommentaion': True, 'RecommenderID': ''}], 'EnableUserRecommendation': False}"
28,98,QR28,"{'MusicPlaylist': [{'MusicName': 'Quickly measure.', 'Visible': False, 'Votes': 1, 'VotersIDs': ['96', '35', '48', '88', '48'], 'IsUserRecommentaion': False, 'RecommenderID': '84'}, {'MusicName': 'Off throw.', 'Visible': False, 'Votes': 22, 'VotersIDs': ['55', '45', '55', '87'], 'IsUserRecommentaion': False, 'RecommenderID': ''}, {'MusicName': 'Reflect.', 'Visible': False, 'Votes': 20, 'VotersIDs': ['71', '68', '25'], 'IsUserRecommentaion': False, 'RecommenderID': '49'}], 'EnableUserRecommendation': False}"
29,7,QR29,"{'MusicPlaylist': [{'MusicName': 'Early manage.', 'Visible': True, 'Votes': 7, 'VotersIDs': ['7', '50', '7'], 'IsUserRecommentaion': False, 'RecommenderID': '36'}, {'MusicName': 'Week.', 'Visible': False, 'Votes': 38, 'VotersIDs': [], 'IsUserRecommentaion': False, 'RecommenderID': '47'}, {'MusicName': 'Create.', 'Visible': True, 'Votes': 41, 'VotersIDs': ['74', '97', '7'], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Expect dinner.', 'Visible': False, 'Votes': 8, 'VotersIDs': ['47', '77'], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Artist head.', 'Visible': False, 'Votes': 28, 'VotersIDs': ['82', '16', '100', '80'], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Them.', 'Visible': True, 'Votes': 14, 'VotersIDs': ['45', '64', '64', '97', '1'], 'IsUserRecommentaion': False, 'RecommenderID': ''}, {'MusicName': 'Attorney college.', 'Visible': False, 'Votes': 22, 'VotersIDs': ['86'], 'IsUserRecommentaion': True, 'RecommenderID': '32'}], 'EnableUserRecommendation': True}"
30,27,QR30,"{'MusicPlaylist': [{'MusicName': 'Offer.', 'Visible': False, 'Votes': 36, 'VotersIDs': ['92', '78'], 'IsUserRecommentaion': True, 'RecommenderID': '49'}, {'MusicName': 'View.', 'Visible': True, 'Votes': 44, 'VotersIDs': [], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'North news.', 'Visible': False, 'Votes': 21, 'VotersIDs': ['12', '86', '18'], 'IsUserRecommentaion': False, 'RecommenderID': ''}, {'MusicName': 'Contain treatment.', 'Visible': False, 'Votes': 34, 'VotersIDs': ['74', '52'], 'IsUserRecommentaion': False, 'RecommenderID': '13'}, {'MusicName': 'Detail near.', 'Visible': True, 'Votes': 19, 'VotersIDs': ['28', '13', '37', '62'], 'IsUserRecommentaion': True, 'RecommenderID': ''}], 'EnableUserRecommendation': True}"
